43877,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny,Robin S. Sharma,"Sharma, Robin S.",,"=""0062515675""","=""9780062515674""",3,3.82,HarperOne,Paperback,208,1999,1996,,2015/08/14,,,read,,,,1,,,0,,,,,
112750,"Darkfever (Fever, #1)",Karen Marie Moning,"Moning, Karen Marie",,"=""0385339151""","=""9780385339155""",4,4.11,Delacorte Press,Hardcover,309,2006,2006,2015/10/27,2015/08/14,,,read,,,,1,,,0,,,,,
78983,"Kane and Abel (Kane and Abel, #1)",Jeffrey Archer,"Archer, Jeffrey",,"=""0312995059""","=""9780312995058""",4,4.29,St. Martin's Paperbacks,Paperback,592,2004,1979,2015/08/22,2015/08/15,,,read,,,,1,,,0,,,,,
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""""","=""""",5,4.13,Knopf,Hardcover,465,2008,2005,,2015/08/17,,,read,,,,1,,,0,,,,,
5060378,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""0307269981""","=""9780307269980""",5,4.23,Alfred A. Knopf,Hardcover,503,2009,2006,2016/07/23,2015/08/19,,,read,,,,1,,,0,,,,,
6892870,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""030726999X""","=""9780307269997""",5,4.22,Knopf,Hardcover,563,2010,2007,2016/10/18,2015/08/19,,,read,,,,1,,,0,,,,,
18405,Gone with the Wind,Margaret Mitchell,"Mitchell, Margaret",,"=""0446675539""","=""9780446675536""",5,4.29,Warner Books,Paperback,1037,1999,1936,2017/08/16,2015/08/21,,,read,A narcissistic young girl and her quest to brave the challenges in the world within and without.,,,1,,,0,,,,,
135479,Cat's Cradle,Kurt Vonnegut,"Vonnegut, Kurt",,"=""0140285601""","=""9780140285604""",2,4.17,Penguin,Paperback,306,1999,1963,2016/02/07,2015/08/24,,,read,,,,1,,,0,,,,,
976,Deception Point,Dan Brown,"Brown, Dan",,"=""0671027387""","=""9780671027384""",3,3.70,Pocket Books,Mass Market Paperback,556,2002,2001,2015/08/26,2015/08/24,,,read,,,,1,,,0,,,,,
78411,"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0439206472""","=""9780439206471""",2,3.93,"Scholastic, Inc.",Paperback,176,1999,1999,2015/08/27,2015/08/27,,,read,,,,1,,,0,,,,,
